name,alt_name,ra,dec,vmag,multiple,class,ads,ads_comp,bii,bv_color,bv_uncert,cdec,cdec_1950,cra,cra_1950,dec_1900,dec_1950,dm_cat,dm_num,fk5,glat,glon,hd,hr,ir_flag,lii,m_cnt,m_id,m_mdiff,m_sep,note,par_code,parallax,pmdec,pmra,ra_1900,ra_1950,radvel,radvel_comm,ri_code,ri_color,rotvel,rotvel_comm,rotvel_uncert,sao,spect_code,spect_type,ub_color,ub_uncert,var_id,vmag_code,vmag_uncert,ra_deg,dec_deg,distance_pc,distance_ly,ra_rad,dec_rad,x,y,z,brightness_class,spectral_main
HR 8814,          ,23 09 57.29,-42 51 38.2,5.81,,                                          STAR F4IV,,,-64.1082,0.48,,-425138.0,-430755.0,230957.3,230709.7,-43.4,-43.132,,-4315281.0,,-64.11,348.92,218630.0,8814,,348.924,,    ,3.4,1.0,    ,        ,0.042,-0.007,-0.325,346.10125,346.7902,12.0,           ,,,,,,231464.0,          ,F4IV              ,-0.02,,         ,         ,,347.4887083333333,-42.86061111111111,23809.52380952381,77656.19047619047,6.064822073918924,-0.748058783305754,17038.19373737959,-3780.7996311509505,-16195.645475030897,Moderate,F
HR 2948,          ,07 38 49.30,-26 48 06.1,4.5,,                                           STAR B6V,6255.0,,-2.4377,-0.17,,-264806.0,-264111.0,73849.3,73646.2,-26.56667,-26.6865,,,,-2.44,241.96,61555.0,2948,,241.963,3.0,AB  ,0.2,9.9,*   ,D       ,0.01,0.019,-0.017,113.68083,114.1925,24.0,           ,,-0.16,65.0,,,174198.0,          ,B6V               ,-0.57,,3673     ,H        ,,114.70541666666665,-26.801694444444447,100000.0,326156.0,2.001987190705312,-0.46777781316902806,-37305.33126612509,81087.41363863536,-45090.39374990556,Moderate,B
HR 544 ,2Alp Tri  ,01 53 04.90,+29 34 44.0,3.41,,                                          STAR F6IV,,,-31.4053,0.49,,293444.0,291959.0,15304.9,15013.5,29.08333,29.333,,,64.0,-31.4,138.64,11443.0,544,,138.642,3.0,AC  ,8.6,222.3,*   ,        ,0.057,-0.235,0.011,26.84458,27.5562,-13.0,SB1O       ,,0.28,93.0,,,74996.0,          ,F6IV              ,0.06,,         ,         ,,28.270416666666666,29.578888888888887,17543.859649122805,57220.35087719297,0.4934118517440136,0.5162490001926783,13437.60645455861,7226.458359200975,8660.025620242617,Bright,F
HR 3310,23Phi2Cnc ,08 26 46.80,+26 56 03.8,6.32,,                                           STAR A6V,6815.0,,31.8158,0.18,,265604.0,270557.0,82646.8,82345.6,27.25,27.0993,,,,31.82,196.61,71150.0,3310,,196.607,,    ,0.1,5.2,*   ,D       ,0.01,0.002,-0.014,125.18375,125.9401,-25.0,V?         ,,,126.0,,,80187.0,          ,A6V               ,0.09,,4078     ,H        ,,126.69500000000001,26.93438888888889,100000.0,326156.0,2.211244895814216,0.47009376812368825,-53273.58675840589,71485.01797663064,45296.98840734773,Faint,A
HR 7263,          ,19 08 03.60,+21 41 56.0,6.23,,                                           STAR F3V,,,6.2386,0.4,,214156.0,213707.0,190803.6,190555.2,21.53333,21.6187,,,,6.24,54.15,178476.0,7263,,54.1487,,    ,,0.2,*   ,        ,0.008,0.074,0.051,285.94417,286.4801,-40.0,           ,,,50.0,,,86843.0,          ,F3V               ,0.01,,         ,         ,,287.015,21.698888888888888,125000.0,407695.0,5.009356752611525,0.3787170551355251,33985.847539637354,-111058.70057359144,46216.092369626895,Faint,F
HR 5914,1Chi Her  ,15 52 40.49,+42 27 06.1,4.62,,                                           STAR F8V,,,50.3181,0.56,,422706.0,423557.0,155240.5,155058.6,42.71667,42.5993,,,1416.0,50.33,67.68,142373.0,5914,,67.6972,,    ,,,*   ,        ,0.056,0.632,0.44,237.30417,237.7443,-55.0,           ,,0.32,0.0,,,45772.0,          ,F8VFe-2Hdel -1    ,0.0,,         ,         ,,238.16870833333334,42.45169444444445,17857.142857142855,58242.14285714285,4.156828135638723,0.7409218411061407,-6949.196354251052,-11194.250770987714,12053.00670897984,Moderate,F
HR 8104,          ,21 13 03.10,-39 25 31.1,5.26,,                                          STAR F5IV,,,-43.4606,0.44,,-392531.0,-393754.0,211303.1,210952.3,-39.81667,-39.6317,,-3914152.0,,-43.46,3.1,201772.0,8104,,3.0933,,    ,,,    ,        ,0.029,-0.123,0.186,316.66333,317.468,-44.0,SB2        ,,,0.0,,,212793.0,          ,F5IV+F6V          ,,,         ,         ,,318.2629166666666,-39.42530555555555,34482.75862068965,112467.58620689654,5.554735782833669,-0.6881013905492566,19876.21789893108,-17732.15396454561,-21899.02554691892,Moderate,F
HR 3482,11Eps Hya ,08 46 46.61,+06 25 08.0,3.38,,                                         STAR G5III,6993.0,,28.5232,0.68,,62508.0,63610.0,84646.6,84407.1,6.78333,6.6028,,,,28.53,220.72,74874.0,3482,,220.718,6.0,AB  ,0.9,0.2,*   ,        ,0.027,-0.051,-0.189,130.37,131.0297,36.0,SBO        ,,0.39,19.0,,,117112.0,          ,G5III             ,0.36,,Eps Hya  ,         ,,131.69420833333334,6.4188888888888895,37037.03703703704,120798.51851851851,2.2984975412240205,0.11203074543079158,-24480.92963395384,27482.38567877323,4140.612773903623,Bright,G
HR 3518,Gam Pyx   ,08 50 31.90,-27 42 36.0,4.01,,                                         STAR K3III,,,10.3248,1.27,,-274236.0,-273121.0,85031.9,84824.0,-27.33333,-27.5224,,,332.0,10.33,251.57,75691.0,3518,,251.571,,    ,,,    ,        ,0.033,0.087,-0.13,131.57167,132.0999,25.0,           ,,0.67,,,,176559.0,          ,K3-III            ,1.4,,         ,         ,,132.6329166666667,-27.71,30303.0303030303,98835.1515151515,2.3148810923565963,-0.4836307357276287,-18170.334436476896,19737.320057778936,-14090.805120707324,Moderate,K
HR 7075,          ,18 44 18.19,+61 02 53.2,5.99,,                                          STAR G7IV,11661.0,,24.3562,0.96,,610253.0,605942.0,184418.2,184342.8,60.93333,60.9949,,,,24.36,90.85,173949.0,7075,,90.8514,,    ,2.8,1.2,    ,D       ,0.006,0.018,-0.005,280.78125,280.9283,-25.0,V?         ,,,,,,17995.0,          ,G7IV              ,0.73,,         ,         ,,281.07579166666665,61.04811111111111,166666.66666666666,543593.3333333333,4.905698012232973,1.0654905410122228,15499.061045880282,-79176.4355389883,145837.74867918895,Moderate,G
HR 8905,68Ups Peg ,23 25 22.80,+23 24 15.1,4.4,,                                         STAR F8III,,,-35.3615,0.61,,232415.0,230745.0,232522.8,232253.5,22.85,23.1293,,,881.0,-35.36,98.55,220657.0,8905,,98.5574,,    ,,,*   ,        ,0.036,0.037,0.193,350.09667,350.723,-11.0,           ,,0.32,79.0,,,91253.0,          ,F8III             ,0.14,,         ,         ,,351.345,23.404194444444443,27777.77777777778,90598.88888888889,6.132127060419478,0.4084802518325206,25202.07892188917,-3836.205278295079,11033.75209750771,Moderate,F
HR 6859,19Del Sgr ,18 20 59.69,-29 49 41.2,2.7,,                                         STAR K3III,11264.0,,-7.1547,1.38,,-294941.0,-295106.0,182059.7,181747.7,-29.86667,-29.8516,,-2914834.0,687.0,-7.15,3.0,168454.0,6859,,3.001,4.0,AD  ,10.2,58.1,*   ,        ,0.047,-0.028,0.035,273.64792,274.4489,-20.0,V?         ,,0.68,,,,186681.0,          ,K3-IIIa*          ,1.55,,         ,         ,,275.24870833333335,-29.82811111111111,21276.59574468085,69394.89361702127,4.80399622227822,-0.520598748539593,1688.5137845218826,-18380.51045926974,-10582.971366243348,Bright,K
HR 6550,          ,17 33 07.30,+41 14 37.0,5.74,,                                               STAR,,,31.6592,1.09,,411437.0,411638.0,173307.3,173131.7,41.3,41.2771,,,1462.0,31.66,66.6,159501.0,6550,,66.5966,,    ,,,    ,        ,0.015,-0.06,-0.068,262.48708,262.882,-29.0,V?         ,,,,,,46792.0,          ,gK1               ,0.96,,         ,         ,,263.28041666666667,41.243611111111115,66666.66666666667,217437.33333333334,4.595110126855888,0.7198368093010058,-5865.434716153257,-49783.2144706358,43950.798365964496,Moderate,g
HR 8762,1Omi And  ,23 01 55.30,+42 19 34.0,3.62,,                                         STAR B6III,,,-16.0959,-0.09,,421934.0,420325.0,230155.3,225937.0,41.78333,42.0571,,,869.0,-16.1,102.21,217675.0,8762,,102.208,4.0,S   ,0.5,0.3,*   ,        ,0.015,-0.006,0.023,344.32958,344.9042,-14.0,SB2O       ,,-0.08,330.0,,,52609.0,v         ,B6IIIpe+A2p       ,-0.53,,Omi And  ,         ,,345.48041666666666,42.32611111111112,66666.66666666667,217437.33333333334,6.029770771995226,0.7387299984538445,47714.11826270815,-12357.110680407317,44889.967459209736,Bright,B
HR 7266,19    Aql ,19 08 59.90,+06 04 23.9,5.22,,                                         STAR F0III,,,-1.1172,0.35,,60424.0,55932.0,190859.9,190632.9,5.9,5.9922,,,3530.0,-1.12,40.34,178596.0,7266,,40.3376,,    ,,,    ,        ,0.032,-0.076,-0.006,286.025,286.6369,-47.0,V          ,,,104.0,,,124318.0,          ,F0III-IV          ,0.04,,         ,         ,,287.2495833333333,6.073305555555556,31250.0,101923.75,5.013451004148495,0.10599917842410785,9214.696355473276,-29676.93411360668,3306.274745552111,Moderate,F
HR 7317,          ,19 19 00.10,-15 32 11.0,6.06,,                                         STAR K3III,,,-13.0036,1.43,,-153211.0,-153744.0,191900.1,191608.7,-15.7,-15.6289,,,,-13.0,21.95,180928.0,7317,,21.9464,,    ,5.5,48.6,    ,        ,0.041,-0.267,-0.091,288.325,289.0364,-18.0,V          ,,0.83,,,,162462.0,          ,K3III             ,1.57,,         ,         ,,289.75041666666664,-15.536388888888888,24390.243902439022,79550.24390243902,5.057098779858786,-0.2711611399813746,7940.878438230934,-22116.672653743462,-6532.934867030216,Faint,K
HR 8190,          ,21 23 58.80,+24 16 27.1,5.71,,                                          STAR F1IV,,,-18.2728,0.32,,241627.0,240332.0,212358.8,212144.0,23.83333,24.0588,,,,-18.27,73.9,203803.0,8190,,73.8988,,    ,4.8,53.9,    ,        ,0.027,0.022,0.136,319.86833,320.4333,-18.0,V          ,,,97.0,,,89678.0,          ,F1IV              ,0.08,,         ,         ,,320.99499999999995,24.274194444444444,37037.03703703704,120798.51851851851,5.602419632439197,0.4236646163248713,26236.565791885176,-21249.74329179122,15226.067711786513,Moderate,F
HR 5634,45    Boo ,15 07 18.10,+24 52 09.1,4.93,,                                           STAR F5V,,,59.4794,0.43,,245209.0,250338.0,150718.1,150506.9,25.25,25.0606,,,1396.0,59.48,36.45,134083.0,5634,,36.4508,3.0,AC  ,4.9,244.1,*   ,        ,0.064,-0.165,0.185,225.72708,226.2788,-7.0,V          ,,0.21,45.0,,,83671.0,          ,F5V               ,-0.02,,6945     ,         ,,226.82541666666668,24.869194444444446,15625.0,50961.875,3.958850348041355,0.4340493253742376,-9699.621561686223,-10338.234338948903,6571.063636356711,Moderate,F
HR 1229,          ,03 59 40.01,+38 49 14.2,6.38,,                                           STAR A1V,2910.0,,-10.7511,0.1,,384914.0,384046.0,35940.0,35620.1,38.53333,38.6793,,,,-10.75,158.42,24982.0,1229,,158.42,,    ,2.7,1.5,    ,D       ,0.005,0.0,-0.006,58.25375,59.0836,-2.0,           ,,,68.0,,,56866.0,          ,A1Vp:             ,0.13,,         ,R        ,,59.91670833333334,38.82061111111111,200000.0,652312.0,1.0457438373737908,0.6775474815251832,78107.34134982282,134832.84117424017,125376.82468520399,Faint,A
